concept_index,entity_id,raw_concept_id,name,definition_source,route
0,kc0,0,乘法原理里的其他类型,llm:deepseek-chat,拓展思维----计数模块----加乘原理----乘法原理----乘法原理里的其他类型
1,kc1,1,加乘原理综合,llm:deepseek-chat,拓展思维----计数模块----加乘原理----加乘原理综合
2,kc2,2,物品搭配,llm:deepseek-chat,拓展思维----计数模块----加乘原理----乘法原理----物品搭配
3,kc3,3,染色计数问题,llm:deepseek-chat,拓展思维----计数模块----加乘原理----染色计数问题
4,kc4,4,路线搭配问题,llm:deepseek-chat,拓展思维----计数模块----加乘原理----乘法原理----路线搭配问题
5,kc5,5,长方形周长,llm:deepseek-chat,拓展思维----几何模块----直线型----图形认知----长方形和正方形----长方形周长
6,kc6,6,陷阱型不规则图形求周长,llm:deepseek-chat,拓展思维----几何模块----直线型----图形认知----不规则四边形----陷阱型不规则图形求周长
7,kc7,7,公式法长方形正方形周长,llm:deepseek-chat,课内题型----空间与图形----几何图形----四边形----公式法长方形正方形周长
8,kc8,8,几何方法差不变,llm:deepseek-chat,拓展思维----几何模块----直线型----几何思想与方法----几何方法差不变
9,kc9,9,正方形组合图形周长,llm:deepseek-chat,拓展思维----几何模块----直线型----图形认知----正方形和长方形----正方形组合图形周长
10,kc10,10,长方形和正方形面积公式,llm:deepseek-chat,拓展思维----几何模块----直线型----图形认知----正方形和长方形----长方形和正方形面积公式
11,kc11,11,找矛盾,llm:deepseek-chat,拓展思维----组合模块----逻辑推理----假设型逻辑推理----真假话----找矛盾
12,kc12,12,整数倍数关系,llm:deepseek-chat,拓展思维----计算模块----整数----整数提取公因数----整数构造提取----整数倍数关系
13,kc13,13,长方形组合图形周长,llm:deepseek-chat,拓展思维----几何模块----直线型----图形认知----长方形和正方形----长方形组合图形周长
14,kc14,14,扫雷游戏,llm:deepseek-chat,拓展思维----组合模块----数学游戏----扫雷游戏
15,kc15,15,认识线段,llm:deepseek-chat,拓展思维----计数模块----几何计数----分类枚举法数图形----常规图形枚举计数----认识线段
16,kc16,16,基本排列的周期问题,llm:deepseek-chat,拓展思维----应用题模块----周期问题----基本排列的周期问题
17,kc17,17,单一变量还原问题,llm:deepseek-chat,拓展思维----应用题模块----还原问题----单一变量还原问题
18,kc18,18,日期中的周期,llm:deepseek-chat,拓展思维----应用题模块----周期问题----时间中的周期问题----日期中的周期
19,kc19,19,逆运算,llm:deepseek-chat,拓展思维----应用题模块----还原问题----逆运算
20,kc20,20,两量还原问题,llm:deepseek-chat,拓展思维----应用题模块----还原问题----两量还原问题
21,kc21,21,单归一问题,llm:deepseek-chat,拓展思维----应用题模块----归一归总问题----单归一问题
22,kc22,22,分一半,llm:deepseek-chat,拓展思维----应用题模块----还原问题----分一半
23,kc23,23,长方形周长公式,llm:deepseek-chat,课内知识点----测量----周长----长方形周长----长方形周长公式
24,kc24,24,单人简单行程问题,llm:deepseek-chat,拓展思维----行程模块----直线型行程问题----路程速度时间----单人简单行程问题
25,kc25,25,双归一问题,llm:deepseek-chat,知识点----应用题模块----归一归总问题----双归一问题
26,kc26,26,数据的简单分析,llm:deepseek-chat,课内知识点----数据的分析----数据的简单分析
27,kc27,27,复式条形统计图,llm:deepseek-chat,知识点----数据收集和整理----数据整理----复式条形统计图
28,kc28,28,运算求解,llm:deepseek-chat,七大能力----运算求解
29,kc29,29,单一对象条形图,llm:deepseek-chat,拓展思维----计数模块----统计与概率----统计图表----单一对象条形图
30,kc30,30,条形统计图,llm:deepseek-chat,课内知识点----数据收集和整理----数据整理----条形统计图
31,kc31,31,二量容斥,llm:deepseek-chat,拓展思维----计数模块----容斥原理----二量容斥
32,kc32,32,原型题,llm:deepseek-chat,拓展思维----应用题模块----鸡兔同笼问题----假设法解鸡兔同笼----基本型----原型题
33,kc33,33,数码综合问题,llm:deepseek-chat,拓展思维----应用题模块----页码问题----数码综合问题
34,kc34,34,平行四边形的概念,llm:deepseek-chat,拓展思维----几何模块----直线型----图形认知----图形认知平行四边形----平行四边形的概念
35,kc35,35,页码数量,llm:deepseek-chat,拓展思维----应用题模块----页码问题----指定数字与页码的对应问题----页码数量
36,kc36,36,页码问题,llm:deepseek-chat,拓展思维----应用题模块----页码问题
37,kc37,37,两条对角线垂直的四边形的面积求法,llm:deepseek-chat,拓展思维----几何模块----直线型----图形认知----不规则四边形----两条对角线垂直的四边形的面积求法
38,kc38,38,正求反求面积,llm:deepseek-chat,知识点----测量----面积----梯形面积公式----正求反求面积
39,kc39,39,用公式直接求速度,llm:deepseek-chat,课内题型----综合与实践----应用题----行程应用题----用公式直接求速度
40,kc40,40,平行四边形边角特点,llm:deepseek-chat,课内知识点----图形的认识----认识平面图形----认识平行四边形----平行四边形边角特点
41,kc41,41,平行四边形的面积公式,llm:deepseek-chat,拓展思维----几何模块----直线型----图形认知----图形认知平行四边形----平行四边形的面积公式
42,kc42,42,同时出发,llm:deepseek-chat,拓展思维----行程模块----直线型行程问题----两人相遇与追及问题----追及问题----同时出发
43,kc43,43,奇数与偶数的加减规律,llm:deepseek-chat,拓展思维----数论模块----奇数与偶数----奇数与偶数的加减规律
44,kc44,44,奇数与偶数的应用,llm:deepseek-chat,拓展思维----数论模块----奇数与偶数----奇数与偶数的应用
45,kc45,45,奇数与偶数的混合计算,llm:deepseek-chat,拓展思维----数论模块----奇数与偶数----奇数与偶数的混合计算
46,kc46,46,乘法竖式谜,llm:deepseek-chat,拓展思维----组合模块----数字谜----竖式数字谜----乘法竖式谜
47,kc47,47,整除初识,llm:deepseek-chat,拓展思维----数论模块----整除----整除特征----整除初识
48,kc48,48,表外乘法计算,llm:deepseek-chat,拓展思维----计算模块----整数----整数乘除----整数乘法运算----表外乘法计算
49,kc49,49,连续自然数长方形数表之已知位置求数,llm:deepseek-chat,拓展思维----计算模块----数列与数表----数表规律----长方形数表----连续自然数长方形数表之已知位置求数
50,kc50,50,烙饼问题,llm:deepseek-chat,拓展思维----组合模块----操作与策略----统筹规划----简单时间统筹问题----烙饼问题
51,kc51,51,时间总和问题,llm:deepseek-chat,拓展思维----组合模块----操作与策略----统筹规划----简单时间统筹问题----时间总和问题
52,kc52,52,调运中的统筹,llm:deepseek-chat,拓展思维----组合模块----操作与策略----统筹规划----调运中的统筹
53,kc53,53,同时出发相向而行,llm:deepseek-chat,拓展思维----行程模块----直线型行程问题----两人相遇与追及问题----相遇问题----同时出发相向而行
54,kc54,54,追及与相遇结合,llm:deepseek-chat,拓展思维----行程模块----直线型行程问题----两人相遇与追及问题----追及与相遇结合
55,kc55,55,整数简易方程,llm:deepseek-chat,课内知识点----式与方程----简易方程（一元一次）----解简易方程----整数简易方程
56,kc56,56,最短路线,llm:deepseek-chat,拓展思维----计数模块----标数法----标准标数法----最短路线
57,kc57,57,不规则多边形的周长,llm:deepseek-chat,拓展思维----几何模块----直线型----图形认知----不规则多边形----不规则多边形的周长
58,kc58,58,正方形周长,llm:deepseek-chat,拓展思维----几何模块----直线型----图形认知----长方形和正方形----正方形周长
59,kc59,59,数字组数（不可重复）,llm:deepseek-chat,拓展思维----计数模块----枚举法综合----字典排序法----组数----数字组数（不可重复）
60,kc60,60,用枚举法找出最值,llm:deepseek-chat,知识点----数学广角----搭配----用枚举法找出最值
61,kc61,61,卡片组数,llm:deepseek-chat,拓展思维----计数模块----枚举法综合----字典排序法----组数----卡片组数
62,kc62,62,乘法竖式,llm:deepseek-chat,拓展思维----计算模块----整数----整数乘除----整数乘法运算----乘法竖式
63,kc63,63,除法竖式,llm:deepseek-chat,拓展思维----计算模块----整数----整数乘除----整数除法运算----除法竖式
64,kc64,64,先归一再归总,llm:deepseek-chat,拓展思维----应用题模块----归一归总问题----先归一再归总
65,kc65,65,加权平均数,llm:deepseek-chat,拓展思维----应用题模块----平均数问题----公式类----加权平均数
66,kc66,66,直接求平均数,llm:deepseek-chat,拓展思维----应用题模块----平均数问题----公式类----直接求平均数
67,kc67,67,平均数问题,llm:deepseek-chat,拓展思维----应用题模块----平均数问题
68,kc68,68,分数加减,llm:deepseek-chat,拓展思维----计算模块----分数----分数运算----分数加减
69,kc69,69,分数的性质,llm:deepseek-chat,拓展思维----计算模块----分数----分数基础----分数的性质
70,kc70,70,分数的意义,llm:deepseek-chat,拓展思维----计算模块----分数----分数基础----分数的意义
71,kc71,71,两端都不植树类型问题(段数小于等于10),llm:deepseek-chat,拓展思维----应用题模块----间隔问题----直线型两端都没有----两端不植树问题----两端都不植树类型问题(段数小于等于10)
